id,name,message,at
34,"Cq <b style=""color:green"">Mod</b>","Then, after crutches, he and I become best friend. (and yes, I grew to have a crush on him)",02:04pm
35,"Cq <b style=""color:green"">Mod</b>",Then I have a major depression episode which results in me getting pulled out of class to go to the hospital,02:05pm
36,pepper <a>Creator</a> ,Did you break up your friendship with him?,11:05am
37,"Cq <b style=""color:green"">Mod</b>",No one knew why I left early,02:05pm
38,"Cq <b style=""color:green"">Mod</b>","During robotics, I tell him I have depression and I'm sorry for not talking much",02:05pm
39,"Cq <b style=""color:green"">Mod</b>",Then he stops talking to me.,02:05pm
40,pepper <a>Creator</a> ,I also have depression,11:06am
41,pepper <a>Creator</a> ,It’s just how much,11:06am
42,"Cq <b style=""color:green"">Mod</b>",I have to take medication and I'm scared of therapists-,02:06pm
43,pepper <a>Creator</a> ,OK,11:06am
44,"Cq <b style=""color:green"">Mod</b>",The AUDACITY of this kid.,02:06pm
45,"Cq <b style=""color:green"">Mod</b>",LIKE I'M TRYING MY BEST,02:07pm
46,"Cq <b style=""color:green"">Mod</b>",I TRY SO HARD TO HAVE THIS KID AS A FRIEND AND HE STOPS TALKING TO ME BECAUSE I'M DEPRESSED,02:07pm
47,"Cq <b style=""color:green"">Mod</b>",Then he makes friends with the popular kids,02:07pm
48,pepper <a>Creator</a> ,Bro —,11:07am
49,"Cq <b style=""color:green"">Mod</b>",And then he convinces them to laugh at me.,02:07pm
50,"Cq <b style=""color:green"">Mod</b>",Every. day.,02:07pm
51,pepper <a>Creator</a> ,Just left you alone………………….,11:07am
52,pepper <a>Creator</a> ,:(,11:08am
53,pepper <a>Creator</a> ,To that kid: >:(,11:08am
54,"Cq <b style=""color:green"">Mod</b>",THEN HE HAS THE ABSOLUTE AUDACITY TO ASK TO BE MY FRIEND AGAIN,02:08pm
55,"Cq <b style=""color:green"">Mod</b>","OF COURSE I SCREAMED AT HIM AND SAID ""HELL NO""",02:08pm
56,"Cq <b style=""color:green"">Mod</b>","But hey, your loss idiot",02:08pm
57,<b>,?,11:09am
58,"Cq <b style=""color:green"">Mod</b>",Cause I'm better friends with your 'best friend' than you are,02:09pm
59,pepper <a>Creator</a> ,:(,11:09am
60,pepper <a>Creator</a> ,He should think more carefully,11:09am
61,"Cq <b style=""color:green"">Mod</b>",And he actually attempts to help me.,02:09pm
62,<b>,?,11:09am
63,"Cq <b style=""color:green"">Mod</b>","So yeah, thanks for your friend who is nice.",02:09pm
64,pepper <a>Creator</a> ,Huh…,11:09am
65,<b>,?,11:10am
66,"Cq <b style=""color:green"">Mod</b>","Because of the idiot, I met one of his friends. His friend and I are basically best friends. So thanks kid.",02:10pm
67,Announcement,<b> has gone AFK.,11:10am
68,pepper <a>Creator</a> ,I see.,11:11am
69,pepper <a>Creator</a> ,:/,11:11am
70,"Cq <b style=""color:green"">Mod</b>",Now I'm friends with the girl who is seen as the dweeb/nerd (but she is actually nice) and the girl who never raises her hand.,02:12pm
71,"Cq <b style=""color:green"">Mod</b>","And I'm stuck with having at least one class with him next year. And if I know him, he is going to make my life hell.",02:12pm
72,"Cq <b style=""color:green"">Mod</b>",And I still have a crush on him :(,02:13pm
73,pepper <a>Creator</a> ,Wow,11:14am
74,"Cq <b style=""color:green"">Mod</b>",It's a tragic friendship,02:14pm
75,pepper <a>Creator</a> ,He’s polluting your life :(,11:14am
76,"Cq <b style=""color:green"">Mod</b>",I still have flashbacks about him,02:15pm
77,pepper <a>Creator</a>,Try to forget about him...,11:15am
78,"Cq <b style=""color:green"">Mod</b>",how,02:15pm
79,pepper <a>Creator</a>,He's rude to a point that no one can stand it.,11:16am
80,pepper <a>Creator</a>,There will be many people like this in life.,11:17am
81,"Cq <b style=""color:green"">Mod</b>","We becoming enemies has gotten to the point where when I get a better score then him, I cheer in my head.",02:17pm
82,pepper <a>Creator</a>,"Yeah, that's what I do as well.",11:17am
83,pepper <a>Creator</a>,"It's like ""Oh I got an A and you got a F! YES!""",11:17am
84,pepper <a>Creator</a> ,(not meaning you got a F),11:18am
85,"Cq <b style=""color:green"">Mod</b>","I make sure to get the top award each semester just so I could rub it in quietly. That I'm ""depressed so [I] can't do anything right"" (he actually said that).",02:18pm
86,pepper <a>Creator</a> ,"wow, what rudeness",11:19am
87,pepper <a>Creator</a> ,How old is that boy?,11:19am
88,"Cq <b style=""color:green"">Mod</b>",12,02:19pm
89,pepper <a>Creator</a> ,12...,11:19am
90,pepper <a>Creator</a> ,Ok,11:19am
91,"Cq <b style=""color:green"">Mod</b>",I'm going to ruin his life when I'm older.,02:20pm
92,pepper <a>Creator</a> ,"Yeah, payback",11:20am
93,"Cq <b style=""color:green"">Mod</b>",>:),02:20pm
94,pepper <a>Creator</a> ,Are you older than him?,11:20am
95,"Cq <b style=""color:green"">Mod</b>",yes.,02:20pm
96,pepper <a>Creator</a> ,"Ya, the best thing now is probably to ignore him",11:20am
97,"Cq <b style=""color:green"">Mod</b>",Then I send this kid an APOLOGY (cause apparently I did something wrong). AND HE SHARES IT WITH HIS FRIENDS,02:21pm
98,pepper <a>Creator</a> ,What does he say to his friends?,11:21am
99,"Cq <b style=""color:green"">Mod</b>",He tells them I'm messed up,02:21pm
100,pepper <a>Creator</a> ,>:(,11:21am
101,pepper <a>Creator</a> ,That's REALLY RUDE,11:21am
102,"Cq <b style=""color:green"">Mod</b>",I'LL SHOW YOU WHO'S MESSED UP,02:21pm
103,pepper <a>Creator</a> ,You should probably stand up for yourself... you're older than that nitwit.,11:22am
104,"Cq <b style=""color:green"">Mod</b>","Yeah but when he almost reported me for ""attempted to beat him up"", I think it's best to not. (and no, I didn't even say that)",02:23pm
105,pepper <a>Creator</a> ,Beat him up? What a TATTLETALE!,11:23am
106,"Cq <b style=""color:green"">Mod</b>","Like, sorry I have meltdowns. Sorry I have to ask to leave the room to cry. Sorry I'm not the most stable. But I tell you, <b>I</b> didn't even do the worst stuff",02:24pm
107,pepper <a>Creator</a> ,"Yeah, I will melt down once in a while...",11:25am
108,"Cq <b style=""color:green"">Mod</b>","I was having a major breakdown once during a club. He was walking with his friends passed where I was sitting. I was in the corner, crying. His friend (my new bestie) tried to help. He sat down and tried to relax me. The idiot walked by and smirked. LIKE BRUHHHHH",02:26pm
109,pepper <a>Creator</a> ,┗( T﹏T )┛,11:26am
110,"Cq <b style=""color:green"">Mod</b>",You don't have to help me but just don't smile,02:26pm
111,pepper <a>Creator</a> ,I would beat him up.,11:26am
112,"Cq <b style=""color:green"">Mod</b>",I would too but I'm like a fourth of his size,02:27pm
113,pepper <a>Creator</a> ,Why doesn't he have empathy? Like what happens if he is crying and I'm laughing when I walk by?!,11:27am
114,pepper <a>Creator</a> ,B,11:27am
115,pepper <a>Creator</a> ,r,11:27am
116,pepper <a>Creator</a> ,u,11:27am
117,pepper <a>Creator</a> ,h,11:27am
118,pepper <a>Creator</a> ,!,11:27am
119,"Cq <b style=""color:green"">Mod</b>",I tried so hard to be his friend.,02:27pm
120,pepper <a>Creator</a> ,But it failed :|,11:28am
121,"Cq <b style=""color:green"">Mod</b>",Yet now it's just so tragic,02:28pm
122,pepper <a>Creator</a> ,:(,11:28am
123,"Cq <b style=""color:green"">Mod</b>",And to think he was so nice at the beginning,02:28pm
124,pepper <a>Creator</a> ,I'd kick him in the weak parts,11:29am
125,pepper <a>Creator</a> ,:|,11:29am
126,pepper <a>Creator</a> ,even though im weaker,11:29am
127,pepper <a>Creator</a> ,I'd say his belly.,11:29am
128,pepper <a>Creator</a> ,He'll just cringe in pain.,11:30am
129,"Cq <b style=""color:green"">Mod</b>",*me being a Hamilton nerd* I hope that you <b style='color:red>b</b><b style='color:orange;'>u</b><b style='color:yellow;'>r</b><b style='color:white;'>n.</b>,02:30pm
130,"Cq <b style=""color:green"">Mod</b>",bruh it didn't work,02:30pm
131,pepper <a>Creator</a> ,...,11:30am
132,"Cq <b style=""color:green"">Mod</b>",tried to say burn lol,02:30pm
133,pepper <a>Creator</a> ,#thatguysucks,11:30am
134,"Cq <b style=""color:green"">Mod</b>","My friend and I call him ""the blonde idiot""",02:31pm
135,pepper <a>Creator</a> ,id call him the stupid obese idiot,11:31am
136,"Cq <b style=""color:green"">Mod</b>","""I hope you're somewhere praying"" yeah. go pray cause ima ruin you",02:32pm
137,pepper <a>Creator</a> ,or the stupid obese fat dumb disgusting sadistic idiot,11:32am
138,pepper <a>Creator</a> ,:|,11:32am
139,pepper <a>Creator</a> ,>:|,11:33am
140,"Cq <b style=""color:green"">Mod</b>",Laugh while you can. Because little do you know I still watch how you act. I note it all down.,02:33pm
141,pepper <a>Creator</a> ,same,11:33am
142,pepper <a>Creator</a> ,i just spy on them,11:33am
143,pepper <a>Creator</a> ,record evidence,11:33am
144,"Cq <b style=""color:green"">Mod</b>","Last day of school, we are complete enemies. Yet I still have the kindness and love to give you a darn hug. You yell at me and push me away. At least I had the kindess to try again.",02:34pm
145,pepper <a>Creator</a> ,:|,11:34am
146,pepper <a>Creator</a> ,>:|,11:35am
147,"Cq <b style=""color:green"">Mod</b>","Normally, I see myself as below everyone. But I finally see someone even lower.",02:35pm
148,pepper <a>Creator</a> ,"Yeah, its a relief",11:35am
149,"Cq <b style=""color:green"">Mod</b>","I swear, this would be a good movie or novel",02:35pm
150,pepper <a>Creator</a> ,Yeah,11:35am
151,pepper <a>Creator</a> ,The sequel will start...,11:36am
152,pepper <a>Creator</a> ,"just about this sadistic, brutal, evil, difficult to work with guy",11:36am
153,pepper <a>Creator</a> ,maybe you can write a book like the one with Glestren but just with that guy as Glestren,11:36am
154,"Cq <b style=""color:green"">Mod</b>",I hope he's been thinking about last year the way I have been. Because we are being put into the same elective next year.,02:36pm
155,pepper <a>Creator</a> ,:( i hope you can change electives,11:37am
156,"Cq <b style=""color:green"">Mod</b>",But I want this elective so badly,02:37pm
157,pepper <a>Creator</a> ,(robotics)?,11:37am
158,"Cq <b style=""color:green"">Mod</b>",It's yearbook,02:37pm
159,"Cq <b style=""color:green"">Mod</b>",A big plus though is the fact that the teacher that teaches it adores me,02:38pm
160,pepper <a>Creator</a> ,:),11:38am
161,"Cq <b style=""color:green"">Mod</b>",>:) Ok sorry. Needed to rant,02:38pm
162,"Cq <b style=""color:green"">Mod</b>",How are you??,02:38pm
163,pepper <a>Creator</a> ,ok,11:39am
164,pepper <a>Creator</a> ,boring. going to the hardware store AGAIN AND AGAIN,11:39am
165,pepper <a>Creator</a> ,:|,11:39am
166,pepper <a>Creator</a> ,maybe you can talk to that teacher because she likes you. does she like that fat guy that s been bullying you?,11:39am
167,"Cq <b style=""color:green"">Mod</b>","I mean, she did teach his brother",02:39pm
168,"Cq <b style=""color:green"">Mod</b>","But from what I see, she just deals with him",02:40pm
169,pepper <a>Creator</a> ,…,11:40am
170,"Cq <b style=""color:green"">Mod</b>",I just hope she doesn't pair me with him,02:40pm
171,pepper <a>Creator</a> ,I hope not too.,11:43am
172,"Cq <b style=""color:green"">Mod</b>","Anyway, sowwy about that lol",02:43pm
173,pepper <a>Creator</a> ,It’s fine,11:44am
174,"Cq <b style=""color:green"">Mod</b>","If I went into every single reason I hate him, we would be here for hours",02:44pm
175,pepper <a>Creator</a> ,…,11:45am
176,"Cq <b style=""color:green"">Mod</b>",:) I'm at home right now and my cousin is visiting Florida for a vaction,02:46pm
177,"Cq <b style=""color:green"">Mod</b>",I can't spell vacation right lol,02:46pm
178,pepper <a>Creator</a> ,You just spelled it right,11:46am
179,"Cq <b style=""color:green"">Mod</b>",Vaction though :///////////////,02:47pm
180,pepper <a>Creator</a> ,Vac<b>a</b>tion,11:47am
181,"Cq <b style=""color:green"">Mod</b>",ehhhhh,02:48pm
182,pepper <a>Creator</a> ,…?,11:49am
183,"Cq <b style=""color:green"">Mod</b>",mew,02:50pm
184,pepper <a>Creator</a> ,:(,11:51am
185,"Cq <b style=""color:green"">Mod</b>",MEW,02:51pm
186,pepper <a>Creator</a> ,Haha,11:52am
187,"Cq <b style=""color:green"">Mod</b>",MROWWWW,02:53pm
188,pepper <a>Creator</a> ,What was the worst time with him,11:53am
189,pepper <a>Creator</a> ,that you had,11:53am
190,"Cq <b style=""color:green"">Mod</b>",Hmmmmmmmm,02:53pm
191,<b>,?,11:53am
192,<b>,??,11:53am
193,<b>,?,11:53am
194,<b>,?,11:53am
195,<b>,?,11:53am
196,"Cq <b style=""color:green"">Mod</b>",Probably when he told me he was better friends with someone who had less classes with him than with me,02:54pm
197,<b>,?,11:54am
198,<b>,?,11:54am
199,pepper <a>Creator</a> ,"That happened only a while ago, right?",11:54am
200,"Cq <b style=""color:green"">Mod</b>",Yea,02:54pm
201,pepper <a>Creator</a> ,Someone is spamming,11:54am
202,pepper <a>Creator</a> ,Ugh,11:54am
203,"Cq <b style=""color:green"">Mod</b>",yup,02:54pm
204,"Cq <b style=""color:green"">Mod</b>",It's private for goodness sake,02:54pm
205,<b>,?,11:55am
206,pepper <a>Creator</a> ,It’s private doesn’t mean it’s totally private. Just a lot of spammers don’t know this exists,11:55am
207,"Cq <b style=""color:green"">Mod</b>","True, true",02:56pm
208,pepper <a>Creator</a> ,Someone I invited is spamming…,11:56am
209,"Cq <b style=""color:green"">Mod</b>",Yeah,02:56pm
210,pepper <a>Creator</a> ,Although some people figure it out like from some source,11:56am
211,<b>,Pepper’s trash!,11:56am
212,"Cq <b style=""color:green"">Mod</b>",Wait so Pepper has trash?,02:57pm
213,pepper <a>Creator</a> ,Look at that guy….,11:57am
214,pepper <a>Creator</a> ,He’s defaming me…,11:57am
215,"Cq <b style=""color:green"">Mod</b>","""Pepper's trash!"" means the trash belongs to pepper",02:57pm
216,"Cq <b style=""color:green"">Mod</b>",So that's not even an insult,02:57pm
217,<b>,Pepper IS trash,11:57am
218,pepper <a>Creator</a> ,Uh not exactly ,11:57am
219,pepper <a>Creator</a> ,That is an insult,11:58am
220,"Cq <b style=""color:green"">Mod</b>","IS is a Spanish doctor company. So yes, Pepper runs IS which has trash",02:58pm
221,"Cq <b style=""color:green"">Mod</b>",Thanks for making this enjoyable for me :),02:58pm
222,<b>,Pepper smells like dumpppppppster,11:58am
223,pepper <a>Creator</a> ,B r u h,11:59am
224,"Cq <b style=""color:green"">Mod</b>","Aw, you are telling him he smells like new posters! How nice!",02:59pm
225,pepper <a>Creator</a> ,What do you mean?,00:00pm
226,"Cq <b style=""color:green"">Mod</b>","I looked up ""dumpppppppster"" and got posters",03:00pm
227,pepper <a>Creator</a> ,Ok,00:00pm
228,<b>,Pepper suck,00:00pm
229,"Cq <b style=""color:green"">Mod</b>",What do you want pepper to suck?,03:01pm
230,pepper <a>Creator</a> ,-_-,00:01pm
231,"Cq <b style=""color:green"">Mod</b>",This is really fun! Keep going!,03:01pm
232,<b>,Pepper ,00:01pm
233,"Cq <b style=""color:green"">Mod</b>",Pepper indeed.,03:01pm
234,<b>,B E L U G A,00:01pm
235,"Cq <b style=""color:green"">Mod</b>",(saracasm with the keep going fyi),03:01pm
236,"Cq <b style=""color:green"">Mod</b>","Yes, beluga. Beluga is fun to watch",03:02pm
237,<b>,P e p p e r,00:02pm
238,<b>,P e p p e r,00:03pm
239,<b>,P e p p e r,00:03pm
240,"Cq <b style=""color:green"">Mod</b>",I understand you want Pepper merch. <a href='https://www.pepperlive.com/'>Pepper Merch</a> (yes I looked up Pepper just for a link to something fun),03:03pm
241,"Cq <b style=""color:green"">Mod</b>",Go on. Keep trying to insult Pepper. I will keep looking up stuff to insult you back!,03:04pm
242,<b>,Pepper slips on banana peel,00:04pm
243,<b>,Pepper is a mon key,00:05pm
244,"Cq <b style=""color:green"">Mod</b>","Well, if you are saying Pepper is a cartoon character, then thanks! Cartoon characters are usually very happy so I would believe Pepper would be thrilled to be in a cartoon",03:05pm
245,"Cq <b style=""color:green"">Mod</b>",Hm. Pepper would love to have a key to a monastary.,03:06pm
246,<b>,P e p p e r is STUPID,00:06pm
247,"Cq <b style=""color:green"">Mod</b>","You're right, the <a href=https://www.pepperlive.com/>Pepper Merch</a> is stupid",03:07pm
248,<b>,P e p p e r black hole,00:07pm
249,"Cq <b style=""color:green"">Mod</b>",Pepper might like black holes. I'm not sure,03:07pm
250,pepper <a>Creator</a> ,No I dont,00:08pm
251,"Cq <b style=""color:green"">Mod</b>",Well are you a black hole of useless info>,03:08pm
252,<b>,Pepper goes and tosses himself into space,00:08pm
253,"Cq <b style=""color:green"">Mod</b>",Pepper might like to go to space.,03:08pm
254,<b>,Pwepper goes to work and gets FIRED!,00:09pm
255,"Cq <b style=""color:green"">Mod</b>",Why would pepper have a job! Pretty sure pepper is a child so therefore having a job in the US under 16 is illegal!,03:09pm
256,<b>,Peeper gets an f in 1+1,00:10pm
257,"Cq <b style=""color:green"">Mod</b>","You can't even spell Pepper so you get an F in spelling. Plus, 1+1 isn't even a subject.",03:10pm
258,<b>,Peeeeeeeeewweeeeper likes hitting himself,00:11pm
259,"Cq <b style=""color:green"">Mod</b>","Yeah, I keep hitting YOU with insults.",03:11pm
260,<b>,Pepper pee his pants very wel,00:12pm
261,"Cq <b style=""color:green"">Mod</b>","You can't even use propper grammar. Plus, how could you even do that ""wel""?",03:12pm
262,<b>,P e p p pppppppppppppppppppppppppp e r is a bulll,00:13pm
263,"Cq <b style=""color:green"">Mod</b>","If Pepper likes bulls, then I guess that is good.",03:13pm
264,<b>,Ppper is a baby,00:13pm
265,"Cq <b style=""color:green"">Mod</b>","Well, I would like to go back to being younger too.",03:14pm
266,<b>,"I’m the owner, pepper is insulting me and taking over.",00:14pm
267,pepper <a>Creator</a> ,N0 You AREnT,00:14pm
268,<b>,Peppers chat SUCKS,00:15pm
269,"Cq <b style=""color:green"">Mod</b>",What does Pepper's chat suck anyway?,03:15pm
270,<b>,I can make a better one ,00:15pm
271,"Cq <b style=""color:green"">Mod</b>",Go away and make it then,03:16pm
272,<b>,Not yet… I have some projects I need to work on later,00:16pm
273,<b>,Nmbkgkc,00:16pm
274,<b>,",dlss",00:16pm
275,<b>,",dads",00:16pm
276,<b>,Pepper is gRAYCat,00:16pm
277,"Cq <b style=""color:green"">Mod</b>","Pepper, I'm done having fun. You can ban them now :)",03:17pm
278,pepper <a>Creator</a> ,Ok,00:17pm
279,pepper <a>Creator</a> ,it,00:17pm
280,pepper <a>Creator</a> ,"Wait, pepper is gray at?1",00:17pm
281,"Cq <b style=""color:green"">Mod</b>",Woah! Pepper is a kitty! MEOW FELLOW CAT,03:17pm
282,pepper <a>Creator</a> ,Meow,00:18pm
283,"Cq <b style=""color:green"">Mod</b>",MEOWWW!!!,03:18pm
284,pepper <a>Creator</a> ,M e o wwwwwwwwwwwwwww,00:18pm
286,"Cq <b style=""color:green"">Mod</b>",It's fun to insult meanies :),03:18pm
287,<b>,Haha pepper got BuSteD for spammIng,00:18pm
288,<b>,Haha pepper got BuSteD for spammIngBnjJl,00:18pm
289,"Cq <b style=""color:green"">Mod</b>",You're one to talk,03:19pm
290,pepper <a>Creator</a> ,Wow he also got busted too!,00:19pm
291,"Cq <b style=""color:green"">Mod</b>",OHHHHHHHHHHHHHHHHHHHHHH,03:19pm
292,pepper <a>Creator</a> ,?,00:20pm
293,"Cq <b style=""color:green"">Mod</b>",:),03:21pm
294,pepper <a>Creator</a> ,"Sorry, my iPad ran out of battery.",00:24pm
295,"Cq <b style=""color:green"">Mod</b>",It's fine :),03:24pm
296,pepper <a>Creator</a> ,Do you want to know mod features,00:25pm
297,"Cq <b style=""color:green"">Mod</b>",Yis,03:25pm
298,pepper <a>Creator</a> ,"Go to controls, then go to the command prompt. Type ‘modlogin’ so it will look like >>>modlogin",00:26pm
299,pepper <a>Creator</a> ,Type in these SAMPLE credientials:,00:26pm
300,pepper <a>Creator</a> ,username: username,00:26pm
301,pepper <a>Creator</a> ,code: password,00:27pm
302,pepper <a>Creator</a> ,secret number: 0,00:27pm
303,pepper <a>Creator</a> ,Then come back here.,00:27pm
304,"Cq <b style=""color:green"">Mod</b>",ooo,03:27pm
305,pepper <a>Creator</a> ,LOgged in?,00:28pm
306,"Cq <b style=""color:green"">Mod</b>",yup,03:28pm
307,pepper <a>Creator</a> ,You can announce stuff!,00:28pm
308,Announcement,"Cq <b style=""color:green"">Mod</b> says: this is a test for the fun of it",03:29pm
309,"Cq <b style=""color:green"">Mod</b>",ooo,03:29pm
310,pepper <a>Creator</a> ,Ya,00:29pm
311,"Cq <b style=""color:green"">Mod</b>",bruh I hit logout,03:29pm
312,pepper <a>Creator</a> ,Type afk in the command prompt. Click prompt,00:29pm
313,Announcement,"Cq <b style=""color:green"">Mod</b> has gone AFK.",03:30pm
314,"Cq <b style=""color:green"">Mod</b>",no.,03:30pm
315,pepper <a>Creator</a> ,Then type noafk,00:30pm
316,"Cq <b style=""color:green"">Mod</b>",i still be here,03:30pm
317,Announcement,"Cq <b style=""color:green"">Mod</b> has come back from AFK.",03:30pm
318,pepper <a>Creator</a> ,:),00:30pm
319,pepper <a>Creator</a> ,Type gtg,00:30pm
320,Announcement,"Cq <b style=""color:green"">Mod</b> needs to go.",03:30pm
321,"Cq <b style=""color:green"">Mod</b>",nuuu,03:31pm
322,pepper <a>Creator</a> ,Type noafk,00:31pm
323,"Cq <b style=""color:green"">Mod</b>",I did already lol,03:31pm
324,pepper <a>Creator</a> ,Type ‘pepper’,00:31pm
325,"Cq <b style=""color:green"">Mod</b>",Wha-,03:31pm
326,pepper <a>Creator</a> ,?,00:31pm
327,"Cq <b style=""color:green"">Mod</b>",What did that do,03:32pm
328,pepper <a>Creator</a> ,Secret function,00:32pm
329,"Cq <b style=""color:green"">Mod</b>",muahahhaah?,03:32pm
330,pepper <a>Creator</a> ,Refresh,00:33pm
331,pepper <a>Creator</a> ,Go to the command prompt after that and type cq,00:33pm
332,"Cq <b style=""color:green"">Mod</b>",confessions xd,03:34pm
333,pepper <a>Creator</a> ,Huh?,00:34pm
334,pepper <a>Creator</a> ,Did u try that command,00:34pm
335,"Cq <b style=""color:green"">Mod</b>",Yes,03:34pm
336,pepper <a>Creator</a> ,What Did tHAT say?,00:35pm
337,"Cq <b style=""color:green"">Mod</b>","""I like Cq""",03:35pm
338,pepper <a>Creator</a> ,huh,00:38pm
339,"Cq <b style=""color:green"">Mod</b>",confessions lol,03:38pm
340,pepper <a>Creator</a> ,"if (getText(""text_area8"") == "">>>cq"") {<br> 	 setText(""text_area8"", ""I like cq"");<br> 	 setTimeout(function() {<br> 	   setText(""text_area8"", "">>>"");<br> 	 }, 5000);<br> 	  	}<br>",00:38pm
341,"Cq <b style=""color:green"">Mod</b>",oop,03:39pm
342,pepper <a>Creator</a> ,?,00:39pm
343,"Cq <b style=""color:green"">Mod</b>",idk,03:39pm
344,pepper <a>Creator</a> ,What command do u want,00:39pm
345,"Cq <b style=""color:green"">Mod</b>",mew which would return mew,03:40pm
346,pepper <a>Creator</a> ,Will do…,00:40pm
347,"Cq <b style=""color:green"">Mod</b>",lol,03:40pm
348,pepper <a>Creator</a> ,Done. Refresh,00:41pm
349,"Cq <b style=""color:green"">Mod</b>",mewwww,03:41pm
350,pepper <a>Creator</a> ,Did it?,00:41pm
351,"Cq <b style=""color:green"">Mod</b>",ye,03:42pm
352,pepper <a>Creator</a> ,(Command prompt),00:42pm
353,pepper <a>Creator</a> ,What’s the result?,00:42pm
354,"Cq <b style=""color:green"">Mod</b>",mew mew mew mew mew mew,03:42pm
355,pepper <a>Creator</a> ,:) any more commands?,00:42pm
356,"Cq <b style=""color:green"">Mod</b>",Nope :),03:43pm
357,pepper <a>Creator</a> ,Um,00:43pm
358,"Cq <b style=""color:green"">Mod</b>",:))),03:43pm
359,pepper <a>Creator</a> ,Refresh and command mewforever,00:43pm
360,pepper <a>Creator</a> ,I mean mewforever,00:44pm
361,"Cq <b style=""color:green"">Mod</b>",mew,03:44pm
362,pepper <a>Creator</a> ,I’m gonna make another command,00:47pm
363,pepper <a>Creator</a> ,Refresh and type command newspaperstory,00:49pm
364,Announcement,pepper <a>Creator</a>  has gone AFK.,00:52pm
365,"Cq <b style=""color:green"">Mod</b>",17,08:45pm
366,pepper <a>Creator</a> ,What?,06:16pm
367,l3333here,OH MY GOD ,11:22pm
368,l3333here,I JUST OPENED MY LAPTOP,11:22pm
369,l3333here,AND HEARD,11:22pm
370,l3333here,suicgbrd78gvef78igrfeiugtfiugvugfbygbyrfughfeds (continus clicking sound),11:22pm
371,pepper <a>Creator</a> ,Hi,07:57am
372,Announcement,pepper <a>Creator</a>  has come back from AFK.,07:58am
373,Announcement,pepper <a>Creator</a>  says: Announcement!,08:52am
374,<b>,PEppER is sTupiD,08:58am
375,Ricky,hewo,02:50pm
376,pepper <a>Creator</a> ,hi,00:28pm
377,Announcement,pepper <a>Creator</a>  says: SHOP CHAT! https://studio.code.org/projects/applab/Pi_LEgRyGHeVtHcJqt2_oxUlFx-v9rrmffp_WGTlDFA,00:29pm
378,Announcement,"pepper <a>Creator</a>  says: <a href=""https://studio.code.org/projects/applab/Pi_LEgRyGHeVtHcJqt2_oxUlFx-v9rrmffp_WGTlDFA"">Shop Chat</a>",00:29pm
379,pepper <a>Creator</a> ,Message Point Leaderboard,01:09pm
380,Ricky,backkkkk,04:40pm
381,pepper <a>Creator</a> ,1hi,02:13pm
